Participant-ID,Classroom
32437,3
32540,3
32443,3
32514,1
32485,2
32436,2
32553,3
32463,2
32444,1
32428,1
32494,1
32484,2
32541,1
32445,0
32470,1
32395,1
32531,4
32440,3
32550,1
32511,2
32556,3
32549,3
32400,1
32505,2
32417,1
32478,4
32477,1
32474,4
32493,1
32413,4
32459,4
32534,3
32527,3
32532,4
32399,4
32409,3
32475,1
32462,4
32498,0
32458,4
32404,0
32517,4
32401,1
32504,2
32448,1
32522,4
32509,0
32397,3
32523,3
32512,1
32455,4
32489,4
32432,4
32476,0
32516,1
32467,4
32408,4
32420,3
32497,2
32515,2
32429,1
32415,0
32435,0
32405,4
32392,4
32495,1
32427,0
32421,4
32422,4
32500,1
32403,1
32557,1
32499,4
32433,0
32402,3
32491,3
32453,0
32530,1
32544,3
32508,1
32407,0
32565,3
32529,4
32457,0
32545,2
32492,2
32406,3
32479,1
32490,0
32513,4
32480,4
32546,4
32535,3
32456,4
32551,4
32446,3
32451,0
32425,3
32471,2
32528,3
32487,0
32466,2
32468,3
32414,4
32483,2
32418,3
32394,0
32431,3
32411,3
32501,2
32558,3
32424,0
32533,0
32547,2
32430,3
32564,2
32537,2
32441,4
32555,0
32442,2
32472,2
32396,3
32560,2
32525,3
32419,2
32452,2
32416,0
32434,0
32438,2
32426,3
32563,0
32519,0
32543,0
32521,2
32526,1
32561,1
32391,3
32542,0
32393,4
32496,0
32464,3
32488,0
32562,2
32518,3
32502,0
32410,4
32506,2
32412,2
32539,0
32510,0
32469,4
32548,0
32507,3
32536,2
32524,2
32482,2
32481,2
32439,1
32461,0
32559,0
32398,1
32460,4
32520,1
32450,2
32538,4
32454,1
32554,4
32447,1
32423,0
32486,0
32449,1
32465,2
32503,1
32552,2
32473,1
